nombre,poblacion,superficie,continente
Argentina,45195774,2780400,América
Brasil,212559417,8515767,América
Canadá,37742154,9984670,América
México,128932753,1964375,América
Chile,19116201,756102,América
Colombia,50882891,1141748,América
Perú,32971854,1285216,América
Uruguay,3473730,176215,América
Costa Rica,5094118,51100,América
Estados Unidos,331002651,9833517,América
Paraguay,7132538,406752,América
Ecuador,17643054,283561,América
Bolivia,11673021,1098581,América
Venezuela,28435940,912050,América
Panamá,4314767,75420,América
Guatemala,14901286,108889,América
Honduras,9904607,112492,América
Cuba,11326616,110860,América
Jamaica,2961167,10991,América
Bahamas,393244,13878,América
España,47351595,505990,Europa
Francia,67081000,551695,Europa
Alemania,83166711,357022,Europa
Italia,60244639,301340,Europa
Portugal,10295909,92212,Europa
Reino Unido,67886011,243610,Europa
Noruega,5378857,385207,Europa
Suecia,10353442,450295,Europa
Grecia,10715549,131957,Europa
Polonia,37950802,312685,Europa
Suiza,8636896,41285,Europa
Austria,8901064,83871,Europa
Bélgica,11589623,30528,Europa
Países Bajos,17441139,41543,Europa
Dinamarca,5831404,43094,Europa
Finlandia,5540720,338424,Europa
Irlanda,4937786,70273,Europa
Rusia,145934462,17098242,Europa
Ucrania,43733762,603500,Europa
Rumania,19237691,238391,Europa
República Checa,10708981,78865,Europa
Hungría,9769526,93028,Europa
Portugal,10196709,92212,Europa
Mónaco,39242,2,Europa
Islandia,366425,103000,Europa
Japón,126476461,377975,Asia
China,1402112000,9596961,Asia
India,1380004385,3287263,Asia
Corea del Sur,51269185,100210,Asia
Vietnam,97338579,331210,Asia
Tailandia,69799978,513120,Asia
Filipinas,109581078,300000,Asia
Indonesia,273523615,1904569,Asia
Turquía,84339067,783356,Asia
Israel,8655535,22072,Asia
Arabia Saudita,34813871,2149690,Asia
Irán,83992949,1648195,Asia
Pakistán,220892340,796095,Asia
Bangladés,164689383,147570,Asia
Malasia,32365999,329847,Asia
Singapur,5850342,728,Asia
Irak,40222493,438317,Asia
Afganistán,38928346,652230,Asia
Catar,2881053,11586,Asia
Emiratos Árabes,9890402,83600,Asia
Mongolia,3278290,1564116,Asia
Nepal,29136808,147181,Asia
Sri Lanka,21413249,65610,Asia
Kazajistán,18776707,2724900,Asia
Uzbekistán,33469203,447400,Asia
Nigeria,206139589,923768,África
Egipto,102334404,1002450,África
Sudáfrica,59308690,1221037,África
Marruecos,36910560,446550,África
Kenia,53771296,580367,África
Etiopía,114963588,1104300,África
Argelia,43851044,2381741,África
Ghana,31072940,238533,África
Senegal,16743927,196722,África
Uganda,45741007,241038,África
Tanzania,59734218,945087,África
Costa de Marfil,26378274,322463,África
Camerún,26545863,475440,África
Madagascar,27691018,587041,África
Angola,32866272,1246700,África
Mozambique,31255435,799380,África
Libia,6871292,1759540,África
Túnez,11818619,163610,África
Namibia,2540905,824292,África
Botsuana,2351627,581730,África
Australia,25499884,7692024,Oceanía
Nueva Zelanda,5084300,268021,Oceanía
Fiyi,896445,18274,Oceanía
Samoa,198414,2831,Oceanía
Papúa Nueva Guinea,8947024,462840,Oceanía
Islas Salomón,686884,28896,Oceanía
Vanuatu,307145,12189,Oceanía
Tonga,105695,747,Oceanía
Kiribati,119449,811,Oceanía
Palaos,18094,459,Oceanía
